IdDate,Date,Month,Year,Trimester,DayOfWeek
20121220,20/12/2012,diciembre,2012,4,jueves
20121221,21/12/2012,diciembre,2012,4,viernes
20121222,22/12/2012,diciembre,2012,4,sábado
20121223,23/12/2012,diciembre,2012,4,domingo
20121224,24/12/2012,diciembre,2012,4,lunes
20121225,25/12/2012,diciembre,2012,4,martes
20121226,26/12/2012,diciembre,2012,4,miércoles
20121227,27/12/2012,diciembre,2012,4,jueves
20121228,28/12/2012,diciembre,2012,4,viernes
20121229,29/12/2012,diciembre,2012,4,sábado
20121230,30/12/2012,diciembre,2012,4,domingo
20121231,31/12/2012,diciembre,2012,4,lunes
20130101,1/1/2013,enero,2013,1,martes
20130102,2/1/2013,enero,2013,1,miércoles
20130103,3/1/2013,enero,2013,1,jueves
20130104,4/1/2013,enero,2013,1,viernes
20130105,5/1/2013,enero,2013,1,sábado
20130106,6/1/2013,enero,2013,1,domingo
20130107,7/1/2013,enero,2013,1,lunes
20130108,8/1/2013,enero,2013,1,martes
20130109,9/1/2013,enero,2013,1,miércoles
20130110,10/1/2013,enero,2013,1,jueves
20130111,11/1/2013,enero,2013,1,viernes
20130112,12/1/2013,enero,2013,1,sábado
20130113,13/1/2013,enero,2013,1,domingo
20130114,14/1/2013,enero,2013,1,lunes
20130115,15/1/2013,enero,2013,1,martes
20130116,16/1/2013,enero,2013,1,miércoles
20130117,17/1/2013,enero,2013,1,jueves
20130118,18/1/2013,enero,2013,1,viernes
20130119,19/1/2013,enero,2013,1,sábado
20130120,20/1/2013,enero,2013,1,domingo
20130121,21/1/2013,enero,2013,1,lunes
20130122,22/1/2013,enero,2013,1,martes
20130123,23/1/2013,enero,2013,1,miércoles
20130124,24/1/2013,enero,2013,1,jueves
20130125,25/1/2013,enero,2013,1,viernes
20130126,26/1/2013,enero,2013,1,sábado
20130127,27/1/2013,enero,2013,1,domingo
20130128,28/1/2013,enero,2013,1,lunes
20130129,29/1/2013,enero,2013,1,martes
20130130,30/1/2013,enero,2013,1,miércoles
20130131,31/1/2013,enero,2013,1,jueves
20130201,1/2/2013,febrero,2013,1,viernes
20130202,2/2/2013,febrero,2013,1,sábado
20130203,3/2/2013,febrero,2013,1,domingo
20130204,4/2/2013,febrero,2013,1,lunes
20130205,5/2/2013,febrero,2013,1,martes
20130206,6/2/2013,febrero,2013,1,miércoles
20130207,7/2/2013,febrero,2013,1,jueves
20130208,8/2/2013,febrero,2013,1,viernes
20130209,9/2/2013,febrero,2013,1,sábado
20130210,10/2/2013,febrero,2013,1,domingo
20130211,11/2/2013,febrero,2013,1,lunes
20130212,12/2/2013,febrero,2013,1,martes
20130213,13/2/2013,febrero,2013,1,miércoles
20130214,14/2/2013,febrero,2013,1,jueves
20130215,15/2/2013,febrero,2013,1,viernes
20130216,16/2/2013,febrero,2013,1,sábado
20130217,17/2/2013,febrero,2013,1,domingo
20130218,18/2/2013,febrero,2013,1,lunes
20130219,19/2/2013,febrero,2013,1,martes
20130220,20/2/2013,febrero,2013,1,miércoles
20130221,21/2/2013,febrero,2013,1,jueves
20130222,22/2/2013,febrero,2013,1,viernes
20130223,23/2/2013,febrero,2013,1,sábado
20130224,24/2/2013,febrero,2013,1,domingo
20130225,25/2/2013,febrero,2013,1,lunes
20130226,26/2/2013,febrero,2013,1,martes
20130227,27/2/2013,febrero,2013,1,miércoles
20130228,28/2/2013,febrero,2013,1,jueves
20130301,1/3/2013,marzo,2013,1,viernes
20130302,2/3/2013,marzo,2013,1,sábado
20130303,3/3/2013,marzo,2013,1,domingo
20130304,4/3/2013,marzo,2013,1,lunes
20130305,5/3/2013,marzo,2013,1,martes
20130306,6/3/2013,marzo,2013,1,miércoles
20130307,7/3/2013,marzo,2013,1,jueves
20130308,8/3/2013,marzo,2013,1,viernes
20130309,9/3/2013,marzo,2013,1,sábado
20130310,10/3/2013,marzo,2013,1,domingo
20130311,11/3/2013,marzo,2013,1,lunes
20130312,12/3/2013,marzo,2013,1,martes
20130313,13/3/2013,marzo,2013,1,miércoles
20130314,14/3/2013,marzo,2013,1,jueves
20130315,15/3/2013,marzo,2013,1,viernes
20130316,16/3/2013,marzo,2013,1,sábado
20130317,17/3/2013,marzo,2013,1,domingo
20130318,18/3/2013,marzo,2013,1,lunes
20130319,19/3/2013,marzo,2013,1,martes
20130320,20/3/2013,marzo,2013,1,miércoles
20130321,21/3/2013,marzo,2013,1,jueves
20130322,22/3/2013,marzo,2013,1,viernes
20130323,23/3/2013,marzo,2013,1,sábado
20130324,24/3/2013,marzo,2013,1,domingo
20130325,25/3/2013,marzo,2013,1,lunes
20130326,26/3/2013,marzo,2013,1,martes
20130327,27/3/2013,marzo,2013,1,miércoles
20130328,28/3/2013,marzo,2013,1,jueves
20130329,29/3/2013,marzo,2013,1,viernes
20130330,30/3/2013,marzo,2013,1,sábado
20130331,31/3/2013,marzo,2013,1,domingo
20130401,1/4/2013,abril,2013,2,lunes
20130402,2/4/2013,abril,2013,2,martes
20130403,3/4/2013,abril,2013,2,miércoles
20130404,4/4/2013,abril,2013,2,jueves
20130405,5/4/2013,abril,2013,2,viernes
20130406,6/4/2013,abril,2013,2,sábado
20130407,7/4/2013,abril,2013,2,domingo
20130408,8/4/2013,abril,2013,2,lunes
20130409,9/4/2013,abril,2013,2,martes
20130410,10/4/2013,abril,2013,2,miércoles
20130411,11/4/2013,abril,2013,2,jueves
20130412,12/4/2013,abril,2013,2,viernes
20130413,13/4/2013,abril,2013,2,sábado
20130414,14/4/2013,abril,2013,2,domingo
20130415,15/4/2013,abril,2013,2,lunes
20130416,16/4/2013,abril,2013,2,martes
20130417,17/4/2013,abril,2013,2,miércoles
